Image_ID	Background	Spartina	Spartina_dead	Sarcocornia	Batis	Juncus	Borrichia	Limonium	Other
../Data_deeplab/real/predict/preds/3_6_pred.png	13321557	10599	390	6480165	4175362	0	396	0	11531
../Data_deeplab/real/predict/preds/3_5_pred.png	13849079	19298	1	6027815	4101177	0	1826	0	804
../Data_deeplab/real/predict/preds/3_12_pred.png	14472030	1660	1654	1282808	8240388	0	0	0	1460
../Data_deeplab/real/predict/preds/2_18_pred.png	13323186	3955318	742716	4292915	1629018	0	0	0	56847
../Data_deeplab/real/predict/preds/2_9_pred.png	16872308	2939416	407946	3690748	29556	0	0	0	60026
../Data_deeplab/real/predict/preds/2_17_pred.png	12483909	8792489	2046409	563488	639	0	0	0	113066
../Data_deeplab/real/predict/preds/1_20_pred.png	14813433	7765576	1289874	0	0	0	0	0	131117
../Data_deeplab/real/predict/preds/3_7_pred.png	11392532	31924	7588	3123363	9438367	0	329	0	5897
../Data_deeplab/real/predict/preds/3_16_pred.png	18371259	33535	1022	3212271	2370301	0	36	0	11576
../Data_deeplab/real/predict/preds/1_15_pred.png	10421375	4094285	891439	730	0	0	0	0	26091
../Data_deeplab/real/predict/preds/3_9_pred.png	20612123	364	204	3082599	292801	0	0	0	11909
../Data_deeplab/real/predict/preds/1_1_pred.png	9793712	1945952	820630	5239	0	0	0	0	2791483
../Data_deeplab/real/predict/preds/4_6_pred.png	16752127	893290	273557	2536222	3217996	0	285339	0	41469
